Day,Close,Volume,Open,High,Low
74, $56.8243,107432952, $57.8614, $58.0786, $56.7686
75, $87.0768,159313328, $88.5714, $88.8571, $86.5071
76, $75.1368,84316215, $75.9021, $76.1757, $75.0157
77, $118.25,46820600, $117.95, $118.36, $117.31
78, $156.41,21175670, $156.91, $157.55, $155.27
79, $219.8,29027340, $217.71, $221.38, $216.75
80, $246.58,18369300, $243.16, $246.73, $242.88
81, $44.0071,97175079, $43.8386, $44.2486, $43.6643
82, $57.2286,113884784, $57.3943, $57.5071, $56.1644
83, $86.2857,254608276, $87.0614, $87.7143, $84.4285
84, $115.28,66139770, $118.08, $118.13, $114.92
85, $115.59,66028640, $114.31, $115.7, $113.31
86, $157.41,16916650, $157.23, $157.8295, $156.78
87, $216.3,47191700, $215.9, $220.19, $212.67
88, $43.9757,97963209, $43.95, $44.2714, $43.6571
89, $57.8128,123496347, $58.2228, $58.4286, $57.4128
90, $105.11,34086120, $104.85, $105.48, $104.7
91, $114.55,67673450, $115.4, $116.54, $113.99
92, $114.48,31396130, $115.39, $115.86, $114.1
93, $163.05,44387770, $159.29, $163.6, $158.7
94, $43.6057,137111911, $43.9928, $44, $42.9857
95, $57.85,80540134, $57.5714, $58.05, $57.5014
96, $75.6965,124205797, $75.5771, $75.8571, $74.7443
97, $106.74,47689070, $105.4, $106.74, $105.35
98, $119.27,85436210, $116.93, $119.3, $116.06
99, $113.72,36792100, $113.87, $115.21, $113.45
100, $249.05,24143240, $247.42, $249.25, $246.72
101, $42.9971,106459252, $43.4614, $43.6971, $42.9814
102, $73.8111,158499648, $76.61, $77.0357, $73.5057
103, $107.34,52545580, $106.65, $107.37, $106.36
104, $120.53,51106100, $118.7, $120.69, $118.27
105, $212.24,45713690, $219.19, $219.69, $206.09
106, $243.29,35709870, $248.97, $249.75, $242.57
107, $74.9851,88125406, $74.23, $75.36, $73.86
108, $106.98,40572000, $106.959, $107.35, $105.9
109, $119.5,49305220, $120.99, $121.22, $119.45
110, $166.72,44651420, $163.89, $168.07, $163.72
111, $213.3,36487930, $211.15, $215.18, $209.27
112, $243.26,31130520, $244.76, $245.3, $241.21
113, $57.8257,96335779, $57.4886, $58.4757, $57.2928
114, $85.0457,127361118, $84.9828, $85.9943, $83.9571
115, $74.6717,68774804, $75, $75.3557, $74.4671
116, $108,44550790, $108.01, $108.04, $107.21
117, $113.54,26378910, $113.65, $114.23, $113.2
118, $169.04,35779520, $167.9, $169.6499, $166.94
119, $218.86,38016810, $216.88, $220.45, $216.62
120, $248.76,34790520, $247.24, $249.17, $237.26
121, $77.5568,133201920, $76.9871, $78.64, $76.6228
122, $74.3763,49154022, $74, $74.6071, $73.8514
123, $112.82,59418180, $111.8, $113.45, $111.6
124, $112.34,45555300, $115.2, $115.57, $112.27
125, $173.97,16956290, $173.5, $174.5, $173.4
126, $192.23,46725710, $191.63, $197.18, $191.4501
127, $264.47,25817590, $261.13, $264.78, $261.07
128, $54.18,108182162, $54.7886, $55.0357, $54.0286
129, $76.6971,119026076, $77.9285, $78.2071, $76.5971
130, $75.4514,70401611, $74.6871, $75.6114, $74.5528
131, $114.18,43789060, $113.15, $114.19, $113.05
132, $105.71,50901380, $107.71, $107.809, $104.08
133, $171.34,24683350, $173.04, $173.48, $171.18
134, $186.8,60547340, $193.9, $194.48, $185.93
135, $262.64,22395560, $263.75, $264.88, $262.1
136, $43.8621,100475160, $44.0657, $44.3628, $43.7528
137, $55.5471,107614952, $54.4, $55.6428, $54.2071
138, $75.0885,197157859, $76.79, $77.0714, $74.66
139, $74.9987,79339984, $75.2257, $75.5843, $74.9271
140, $107.11,32230590, $106.57, $107.68, $106.1593
141, $169.08,28998220, $169.97, $170.3197, $168.38
142, $191.41,46271660, $188.39, $191.97, $186.9
143, $265.76,25093670, $263.68, $265.78, $263.01
144, $43.0843,164041549, $43.6743, $43.9428, $42.76
145, $54.9671,87102636, $55.6071, $55.8771, $54.9028
146, $75.3825,316194785, $75.0285, $75.7143, $72.25
147, $114.175,37979570, $111.38, $114.24, $111
148, $109.99,58724080, $106.7, $110.23, $106.6
149, $171.1,23598650, $171.18, $171.87, $170.3
150, $193.53,36191330, $190.5, $194.9695, $189.46
151, $42.9286,119653066, $43.0286, $43.4271, $42.5371
152, $53.9157,119918436, $54.8543, $54.94, $53.6428
153, $113.99,46687710, $114.27, $117.28, $113.3
154, $113.69,27584020, $114.92, $115.05, $113.32
155, $109.95,27623150, $109.81, $110.35, $108.83
156, $170.15,21884010, $171.04, $171.39, $169.64
157, $44.0614,123123667, $43.6, $44.2386, $43.5271
158, $53.5628,92964578, $54.1314, $54.2843, $53.5543
159, $74.0898,60997871, $74.9985, $75.3128, $74.0285
160, $115.47,44163250, $113.94, $115.69, $113.89
161, $117.29,46559730, $115.76, $117.49, $115.5
162, $110.06,28310840, $109.72, $110.54, $109.66
163, $267.1,21700900, $265.8, $267.43, $264.23
164, $43.8186,96113949, $43.9957, $44.0571, $43.6057
165, $80.8185,205441312, $77.2443, $81.0714, $77.1257
166, $74.2214,52105335, $74.1471, $74.7685, $73.9957
167, $114.67,41815550, $115.44, $115.74, $113.8
168, $118.78,43233950, $117.64, $119.75, $116.76
169, $185.86,41626820, $190, $190.7, $184.99
170, $266.29,19069600, $267.9, $268, $265.3926
171, $80.1305,160537558, $81.7014, $81.7071, $79.2257
172, $73.5714,48459468, $74.1757, $74.3457, $73.4757
173, $116.31,43148650, $114.91, $116.86, $114.85
174, $119.3,34135230, $119.2, $119.92, $118.85
175, $169.98,16041550, $170.29, $170.56, $169.56
176, $176.98,67678680, $178.37, $181.47, $175.51
177, $263.19,26609920, $265.54, $266.083, $260.4
178, $52.7157,111837844, $52.9143, $53.0971, $52.2728
179, $80.2428,93231278, $80.6071, $81.0528, $79.5143
180, $74.448,65382638, $73.9428, $74.4585, $73.3814
181, $116.47,56759320, $117.51, $117.57, $116.03
182, $111.73,29164190, $110.12, $111.99, $110.01
183, $173.14,25047130, $170.78, $173.7, $170.78
184, $176.78,31096240, $179.73, $180.27, $176.55
185, $262.01,30348780, $263.69, $264.005, $261.18
186, $44.7657,97869619, $43.8114, $44.7657, $43.6957
187, $53.7871,102201781, $53.0028, $53.99, $52.9914
188, $74.2571,55833466, $74.2171, $74.5943, $74.0757
189, $111.8,25931710, $111.95, $112.42, $111.4
190, $174.96,25558680, $173.36, $175, $173.05
191, $261.78,16331260, $262.59, $263.18, $260.84
192, $44.1043,129372219, $44.35, $44.5357, $43.7943
193, $52.4271,107011272, $53.5014, $53.6914, $52.4114
194, $81.6428,68206599, $81.0243, $81.7143, $80.3714
195, $117.75,32445680, $119.27, $119.73, $117.34
196, $111.23,27420550, $111.36, $111.51, $110.33
197, $172.29,23623970, $174.94, $176.595, $172.1
198, $44.9707,103401091, $44.5714, $45.0571, $44.5357
199, $118.625,46867340, $116.85, $118.77, $116.62
200, $118.88,42747950, $117.33, $119.35, $117.12
201, $174.97,14026670, $175.1, $175.5, $174.6459
202, $51.9386,63689820, $52.6314, $53.0214, $51.9028
203, $74.82,57270811, $74.4314, $75.1243, $74.4285
204, $117.6,68719930, $119.07, $119.75, $117.45
205, $118.03,21341960, $119.21, $119.23, $117.92
206, $111.79,11475920, $111.13, $111.87, $110.95
207, $266.37,21029520, $262.71, $266.44, $262.52
208, $45,59436255, $44.82, $45.3857, $44.7057
209, $84.2185,157238387, $82.2714, $84.2857, $81.9585
210, $76.2,99957720, $74.8743, $76.5914, $74.8571
211, $119,40756950, $117.94, $119.1, $117.83
212, $174.62,44662320, $174.24, $174.95, $170.26
213, $264.29,26334880, $266.94, $267.16, $262.5
214, $83.54,133099650, $84.2214, $84.3457, $82.8714
215, $77.9943,90644497, $76.6157, $78, $76.2
216, $117.81,13046450, $118.29, $118.41, $117.6
217, $174.09,20591090, $175.05, $175.08, $173.34
218, $174.24,41156140, $171.51, $174.77, $170.88
219, $267.84,16386120, $265.58, $267.98, $265.31
220, $53.7314,86538996, $53.1928, $53.8171, $52.9043
221, $83.2771,130112749, $82.4671, $83.6857, $81.7514
222, $118.93,24814400, $119.27, $119.4, $118.05
223, $111.57,27054320, $111.43, $112.465, $111.39
224, $173.07,26387240, $174.3, $174.87, $171.86
225, $180.94,45941750, $176.73, $181.29, $174.93
226, $45.2671,110489713, $45.0714, $45.3543, $44.4828
227, $53.3143,93871498, $53.6914, $54.1186, $52.8857
228, $84.1943,128394879, $84.3164, $84.8928, $83.6071
229, $79.4385,79532274, $78.4971, $79.7614, $78.2585
230, $111.46,28507780, $110.78, $112.03, $110.07
231, $169.48,41459120, $172.63, $172.92, $167.16
232, $179.55,41523580, $182.66, $182.8, $177.7
233, $267.25,11654360, $266.6, $268, $265.9
234, $44.45,125157098, $44.7914, $44.9086, $44.41
235, $54.6,101253000, $54.47, $54.6108, $54.0428
236, $83.6114,97622309, $83.8271, $84.0571, $83.24
237, $118.3,38063130, $117.99, $119.41, $117.75
238, $110.52,36151450, $111.6, $112.2, $110.27
239, $171.85,41484540, $170.43, $172.14, $168.44
240, $178.58,39424260, $180.29, $180.33, $177.03
241, $45.9528,109673093, $46.3386, $46.4371, $45.8571
242, $55.5443,84620155, $56.1428, $56.4857, $55.3
243, $75.67,155971877, $75.8785, $76.8057, $75.1143
244, $79.2043,82974455, $80.4071, $80.4114, $79.0957
245, $115.19,43293350, $113.84, $115.92, $113.75
246, $172.27,23402510, $172.5, $173.54, $172
247, $170.95,31754210, $170.49, $172.57, $169.55
248, $275.15,33432810, $271.46, $275.3, $270.93
249, $45.7557,87718986, $45.9614, $46.0771, $45.5714
250, $54.3128,101456840, $55.2428, $55.34, $53.9543
251, $72.8277,252115436, $73.5357, $74.0188, $72.2257
252, $112.48,64678220, $112.18, $112.68, $109.79
253, $115.19,33962370, $115.04, $116.2, $114.98
254, $172.22,20442740, $172.4, $173.13, $171.65
255, $165.48,40620360, $169, $169.08, $165.28
256, $45.7657,103780771, $45.7143, $46.1428, $45.5986
257, $54.1343,64036768, $54.7614, $54.82, $54.0443
258, $108.225,67083260, $110.7, $111.6, $106.35
259, $110.49,53168580, $111.94, $112.8, $110.35
260, $115.82,46286150, $115.38, $116.73, $115.23
261, $173.97,40122100, $173.63, $174.17, $172.46
