Date,Open,High,Low,Close,Volume
1,47.47,47.85,46.25,47.58,7582127
2,47.48,47.73,46.69,47.25,7440914
3,47.16,48.2,47.11,47.65,5417258
4,47.97,48.58,47.32,47.87,6154285
5,46.55,47.1,46.4,47.08,8945056
6,46.41,46.75,45.36,45.65,9686957
7,45.65,45.7,44.26,44.93,8497383
8,44.79,45.09,44.09,44.36,5818301
9,44.48,44.85,44,44.4,4432237
10,43.95,44.32,43.66,44,5635225
11,43.19,44.59,43.1,44.32,8744464
12,44.5,45.24,44.3,44.45,5156990
13,44.23,44.36,43.2,43.92,8344332
14,44.18,44.75,43.5,43.73,5752811
15,43.66,44.43,43.42,44.02,4342401
16,44.05,44.47,43.34,43.6,4287595
17,43.95,44.78,43.79,44.68,4890969
18,44.55,45.22,44.53,45.22,4174089
19,45.41,45.97,44.74,44.96,4099826
20,44.76,45.21,44.25,44.82,4056024
21,43.92,44.69,43.5,43.98,7501585
22,43.84,44.04,39.8,42.74,23739052
23,37.7,38.5,37.37,38.33,33532893
24,38.34,38.34,37.77,37.95,8503296
25,38.08,38.2,37.2,37.52,7404668
26,37.7,38.39,37.11,38.17,7544646
27,38.61,39,37.93,37.99,6932766
28,37.98,38.52,37.37,38.52,5011791
29,38.25,38.42,37.53,37.86,4750381
30,38.04,38.49,37.38,38.25,4514262
31,38.24,39.28,38.1,39.26,6902712
32,39.37,40,38.83,39.15,5685345
33,38.93,39.38,38.91,39.19,4581764
34,39.01,39.11,38.26,38.29,5056134
35,38.31,39.1,37.71,38.72,7357544
36,38.62,38.75,37.87,37.9,9287561
37,38.25,38.41,37.86,38.35,3720719
38,38.4,38.78,37.93,38.01,4449169
39,37.79,38.09,37.05,37.44,9151537
40,37.45,37.69,36.85,37.12,6982125
41,35.64,37,35.37,36.88,11584724
42,36.89,37.83,36.67,37.21,6044967
43,37.32,37.58,36.77,36.86,4258307
44,36.71,37.42,36.7,36.93,4722841
45,36.72,37.47,36.61,36.81,6237141
46,36.8,36.96,35.9,36.12,7200162
47,36.24,36.5,35.74,36.22,4973080
48,36.31,36.63,35.97,36.19,3278041
49,36.04,37,36.01,36.91,4185116
50,36.95,37,36.43,36.89,2801857
51,37.08,37.39,36.74,36.77,4822824
52,36.88,36.98,35.85,35.99,6887708
53,35.92,37.27,35.8,36.23,6170820
54,36.33,36.73,35.66,35.92,6671525
55,36,36.54,35.79,36,4301878
56,35.96,36.34,35.48,35.68,4044958
57,35.72,36.12,35.31,35.47,3682196
58,35.5,35.66,35.14,35.25,3709692
59,35.21,36.02,35.2,35.69,5727286
60,35.69,36.81,35.31,36.32,7199118
61,36.45,36.9,36.18,36.67,4049201
62,36.68,36.77,36.48,36.53,2658059
63,36.67,37.33,36.1,36.14,5053955
64,36.14,37.1,36.02,36.77,3717817
65,36.66,37.34,36.27,37.34,5560520
66,37.2,38.84,37.13,38.51,9294509
67,38.55,38.67,37,37.09,5720387
68,37.16,37.28,36.22,36.61,4748570
69,36.61,36.75,35.52,36.06,6605605
70,35.91,36.44,35.91,36.13,2855821
71,35.95,36.72,35.49,36.62,3715110
72,36.47,36.62,35.05,35.27,4442242
73,35.39,36.45,35.2,36.28,4595703
74,36.12,36.96,35.89,36.89,4281987
75,36.7,37.2,36.23,36.34,5387529
76,36.62,36.78,35.72,36.03,4423517
77,36.12,36.12,35.32,35.79,3088138
78,35.59,35.77,35.01,35.55,12818222
79,35.34,36.35,35.15,35.79,11072021
80,35.5,35.87,35.3,35.74,5935143
81,35.77,35.89,35.14,35.21,3493328
82,35.19,35.57,34.44,34.59,7073876
83,34.64,34.94,34.23,34.38,5857603
84,34.29,34.39,33.51,33.96,7586980
85,34.62,34.72,34.38,34.47,5997905
86,34.64,35.04,34.15,35.04,5741843
87,34.99,35.31,34.47,34.69,4237741
88,34.42,35.26,34.21,34.84,5485645
89,34.68,35,34.1,34.16,3301663
90,34.12,34.15,33.08,33.53,7695946
91,33.56,33.78,32.55,32.73,4875410
92,32.55,32.85,32.21,32.78,4310774
93,32.84,33.02,32.32,32.76,3883938
94,32.45,32.7,31.53,31.61,6831048
95,31.71,33.64,31.52,32.61,12027138
96,32.66,34,32.03,33.94,9818199
97,33.96,34.99,33.18,34.83,11125574
98,35,36,33.76,33.76,8824837
99,33.41,35.23,33.37,35.19,9543080
100,35.36,35.69,34.6,35.63,5845651
101,35.66,36.5,35.46,36.07,4524371
102,35.73,35.75,34.44,34.64,5920714
103,34.74,34.94,33.73,34.61,5196652
104,34.62,35.45,34.3,35.07,5932199
105,34.68,35.22,34.05,34.76,5443181
106,34.46,34.54,33.27,33.49,5049455
107,33.58,33.8,32.93,33.41,4276635
108,33.4,34.54,32.91,33.77,5304990
109,33.55,34.06,32.42,33.55,8311012
110,33.5,34.35,33.45,33.78,5232819
111,34,34.45,33.49,33.6,4196651
112,33.49,34.17,33.14,33.47,5403036
113,33.5,33.99,33.08,33.68,4869169
114,33.84,35.17,33.67,34.96,6206578
115,34.88,35.26,34.7,35.09,5135807
116,35.2,35.48,35.04,35.07,4211672
117,35.01,35.65,34.88,35.48,4465573
118,35.34,37.05,35.34,36.65,7871031
119,36.55,36.85,36.11,36.37,4750201
120,36.46,36.65,36.02,36.55,3923367
121,36.55,37.17,36.43,36.77,3605748
122,36.72,37.5,36.17,36.48,5640976
123,36.7,37.11,36.48,36.7,3753209
124,36.82,38.57,36.7,38.52,6372610
125,38.58,38.84,37.83,38.68,5197000
126,38.52,38.62,38.23,38.61,1436347
127,38.28,38.43,36.78,37.11,5735161
128,37.07,37.74,36.52,36.8,4372714
